group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
F_sales-marketing_Long,scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing,scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing_Long,scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing,M_scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing_Long,scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing,scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing,M_scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
F_sales-marketing,M_scientist,0.8285714285714286,0.25,4.215776980176537e-12,-1,TRAD_BN,90.0
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,TRAD_BN,90.0
sales-marketing_Long,M_35-44_Long,0.8285714285714286,0.25,9.284753049707884e-11,-1,TRAD_BN,90.0
sales-marketing,35-44_Long,0.8285714285714286,0.25,9.284753049707884e-11,-1,TRAD_BN,90.0
sales-marketing_Long,35-44_Long,0.8285714285714286,0.25,9.284753049707884e-11,-1,TRAD_BN,90.0
sales-marketing,M_35-44_Long,0.8285714285714286,0.25,9.284753049707884e-11,-1,TRAD_BN,90.0
sales-marketing,M_35-44_Long,0.8285714285714286,0.25,1.7610845135004988e-10,-1,TRAD_BN,90.0
sales-marketing_Long,M_35-44_Long,0.8285714285714286,0.25,1.7610845135004988e-10,-1,TRAD_BN,90.0
sales-marketing,35-44_Long,0.8285714285714286,0.25,1.7610845135004988e-10,-1,TRAD_BN,90.0
sales-marketing_Long,35-44_Long,0.8285714285714286,0.25,1.7610845135004988e-10,-1,TRAD_BN,90.0
18-24,35-44_Long,0.8285714285714286,0.25,1.6718172212517316e-09,-1,TRAD_BN,90.0
18-24,M_35-44_Long,0.8285714285714286,0.25,1.6718172212517316e-09,-1,TRAD_BN,90.0
18-24_Long,35-44_Long,0.8285714285714286,0.25,1.6718172212517316e-09,-1,TRAD_BN,90.0
18-24_Long,M_35-44_Long,0.8285714285714286,0.25,1.6718172212517316e-09,-1,TRAD_BN,90.0
18-24,M_35-44_Long,0.8285714285714286,0.25,2.8688669389620983e-09,-1,TRAD_BN,90.0
18-24,35-44_Long,0.8285714285714286,0.25,2.8688669389620983e-09,-1,TRAD_BN,90.0
18-24_Long,35-44_Long,0.8285714285714286,0.25,2.8688669389620983e-09,-1,TRAD_BN,90.0
18-24_Long,M_35-44_Long,0.8285714285714286,0.25,2.8688669389620983e-09,-1,TRAD_BN,90.0
18-24_Long,M_35-44,0.8285714285714286,0.25,2.887572668544547e-09,-1,TRAD_BN,90.0
18-24,35-44,0.8285714285714286,0.25,2.887572668544547e-09,-1,TRAD_BN,90.0
18-24_Long,35-44,0.8285714285714286,0.25,2.887572668544547e-09,-1,TRAD_BN,90.0
18-24,M_35-44,0.8285714285714286,0.25,2.887572668544547e-09,-1,TRAD_BN,90.0
18-24_Long,M_35-44,0.8285714285714286,0.25,4.984608188694346e-09,-1,TRAD_BN,90.0
18-24_Long,35-44,0.8285714285714286,0.25,4.984608188694346e-09,-1,TRAD_BN,90.0
18-24,M_35-44,0.8285714285714286,0.25,4.984608188694346e-09,-1,TRAD_BN,90.0
18-24,35-44,0.8285714285714286,0.25,4.984608188694346e-09,-1,TRAD_BN,90.0
M_academic-educator_Long,18-24_other,0.8857142857142857,0.3333333333333333,1.1603680919905549e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,18-24_other,0.8857142857142857,0.3333333333333333,1.1603680919905549e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other,0.8857142857142857,0.3333333333333333,1.1603680919905549e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.8857142857142857,0.3333333333333333,1.1603680919905549e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other,0.8857142857142857,0.3333333333333333,1.1603680919905549e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other,0.8857142857142857,0.3333333333333333,1.1603680919905549e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.8857142857142857,0.3333333333333333,1.1603680919905549e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other_Long,0.8857142857142857,0.3333333333333333,2.274420850770565e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other_Long,0.8857142857142857,0.3333333333333333,2.274420850770565e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other_Long,0.8857142857142857,0.3333333333333333,2.274420850770565e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,18-24_other_Long,0.8857142857142857,0.3333333333333333,2.274420850770565e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other_Long,0.8857142857142857,0.3333333333333333,2.274420850770565e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other_Long,0.8857142857142857,0.3333333333333333,2.274420850770565e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other_Long,0.8857142857142857,0.3333333333333333,2.274420850770565e-07,-1,TRAD_BN,90.0
25-34_executive-managerial,scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
25-34_executive-managerial_Long,M_scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial_Long,scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
25-34_executive-managerial,M_scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial,scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
25-34_executive-managerial,scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial,M_scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
25-34_executive-managerial_Long,scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
25-34_executive-managerial_Long,scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
25-34_executive-managerial,M_scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_executive-managerial_Long,M_scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial,M_scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
25-34_executive-managerial_Long,M_scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_executive-managerial,scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_executive-managerial,scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial_Long,M_scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial_Long,scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial_Long,M_scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_executive-managerial_Long,scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
M_executive-managerial_Long,M_scientist_Comedy,0.8857142857142857,0.3333333333333333,3.46588394801102e-07,-1,TRAD_BN,90.0
other,M_25-34_Long,0.8857142857142857,0.625,4.6343154587845285e-07,-1,TRAD_BN,90.0
M_other,M_25-34_Long,0.8857142857142857,0.625,4.6343154587845285e-07,-1,TRAD_BN,90.0
other_Long,M_25-34_Long,0.8857142857142857,0.625,4.6343154587845285e-07,-1,TRAD_BN,90.0
M_other,M_25-34,0.8857142857142857,0.625,4.6343154587845285e-07,-1,TRAD_BN,90.0
other,M_25-34,0.8857142857142857,0.625,4.6343154587845285e-07,-1,TRAD_BN,90.0
M_other_Long,M_25-34,0.8857142857142857,0.625,4.6343154587845285e-07,-1,TRAD_BN,90.0
other_Long,M_25-34,0.8857142857142857,0.625,4.6343154587845285e-07,-1,TRAD_BN,90.0
M_other_Long,M_25-34_Long,0.8857142857142857,0.625,4.6343154587845285e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other,0.8857142857142857,0.625,4.870481599981621e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,18-24_other,0.8857142857142857,0.625,4.870481599981621e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,18-24_other,0.8857142857142857,0.625,4.870481599981621e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.8857142857142857,0.625,4.870481599981621e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.8857142857142857,0.625,4.870481599981621e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other,0.8857142857142857,0.625,4.870481599981621e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_executive-managerial,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
25-34_executive-managerial,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial_Long,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial_Long,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_executive-managerial_Long,M_35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
25-34_executive-managerial_Long,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_executive-managerial,M_35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
25-34_executive-managerial,M_35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_executive-managerial,M_35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial_Long,M_35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
25-34_executive-managerial_Long,M_35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
25-34_executive-managerial,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_executive-managerial_Long,M_35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_executive-managerial_Long,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial,M_35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial,M_35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_executive-managerial_Long,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
25-34_executive-managerial_Long,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
M_executive-managerial,35-44_scientist_Comedy,0.8857142857142857,0.625,4.953981660065278e-07,-1,TRAD_BN,90.0
Long_Horror,35-44_Long_Comedy,0.9428571428571428,0.625,5.300158076738019e-07,-1,TRAD_BN,90.0
Horror,M_35-44_Long_Comedy,0.9428571428571428,0.625,5.300158076738019e-07,-1,TRAD_BN,90.0
Long_Horror,M_35-44_Long_Comedy,0.9428571428571428,0.625,5.300158076738019e-07,-1,TRAD_BN,90.0
Long_Horror,M_35-44_Long_Comedy,0.9428571428571428,0.625,5.300158076738019e-07,-1,TRAD_BN,90.0
Horror,35-44_Long_Comedy,0.9428571428571428,0.625,5.300158076738019e-07,-1,TRAD_BN,90.0
Horror,M_35-44_Long_Comedy,0.9428571428571428,0.625,5.300158076738019e-07,-1,TRAD_BN,90.0
Horror,35-44_Long_Comedy,0.9428571428571428,0.625,5.300158076738019e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,6.233616772568037e-07,-1,TRAD_BN,90.0
War,18-24_other_Long,0.9714285714285714,0.625,6.233616772568037e-07,-1,TRAD_BN,90.0
War,18-24_other_Long,0.9714285714285714,0.625,6.233616772568037e-07,-1,TRAD_BN,90.0
War,M_18-24_other_Long,0.9714285714285714,0.625,6.233616772568037e-07,-1,TRAD_BN,90.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.625,6.233616772568037e-07,-1,TRAD_BN,90.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.625,6.233616772568037e-07,-1,TRAD_BN,90.0
War,M_18-24_other_Long,0.9714285714285714,0.625,6.233616772568037e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,6.233616772568037e-07,-1,TRAD_BN,90.0
Horror,M_35-44_Comedy,0.9714285714285714,0.625,6.315054900143817e-07,-1,TRAD_BN,90.0
Long_Horror,M_35-44_Comedy,0.9714285714285714,0.625,6.315054900143817e-07,-1,TRAD_BN,90.0
Long_Horror,M_35-44_Comedy,0.9714285714285714,0.625,6.315054900143817e-07,-1,TRAD_BN,90.0
Horror,M_35-44_Comedy,0.9714285714285714,0.625,6.315054900143817e-07,-1,TRAD_BN,90.0
Long_Horror,35-44_Comedy,0.9714285714285714,0.625,6.315054900143817e-07,-1,TRAD_BN,90.0
Long_Horror,35-44_Comedy,0.9714285714285714,0.625,6.315054900143817e-07,-1,TRAD_BN,90.0
Horror,35-44_Comedy,0.9714285714285714,0.625,6.315054900143817e-07,-1,TRAD_BN,90.0
Horror,35-44_Comedy,0.9714285714285714,0.625,6.315054900143817e-07,-1,TRAD_BN,90.0
M_executive-managerial,scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
25-34_executive-managerial_Long,scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial_Long,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial,scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_executive-managerial_Long,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial,scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
25-34_executive-managerial_Long,scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_executive-managerial,scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
25-34_executive-managerial_Long,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
25-34_executive-managerial,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
25-34_executive-managerial,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_executive-managerial_Long,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
25-34_executive-managerial,scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial_Long,scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial_Long,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_executive-managerial_Long,scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
25-34_executive-managerial,scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_25-34_executive-managerial_Long,scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
25-34_executive-managerial_Long,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_executive-managerial,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
M_executive-managerial,M_scientist_Long_Comedy,0.9714285714285714,0.625,7.024362089915969e-07,-1,TRAD_BN,90.0
War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
War,18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.625,7.766031538104935e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator_Long,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
M_academic-educator,M_18-24_other,0.9714285714285714,0.625,7.921715611331594e-07,-1,TRAD_BN,90.0
